self-supervision batch size in seconds,fine-tuning data hours,clean wer,other wer
0,1/6,1,1
0,1,1,1
0,10,1,1
0,100,0.714,0.8257
0,960,0.2019,0.3766
1/2,1/6,1,1
1/2,1,1,1
1/2,10,0.927465902,0.9847099003
1/2,100,0.4588618066,0.6805959017
1/2,960,0.1310797397,0.293986025
1,1/6,0.7156722179,0.8144382508
1,1,0.5291349583,0.669525791
1,10,0.34787324,0.5238085891
1,100,0.1635601632,0.3849807647
1,960,0.06937244954,0.1840307765
2,1/6,0.6096467042,0.706563555
2,1,0.3918973567,0.5250451441
2,10,0.2323995441,0.3870809453
2,100,0.118708871,0.3032111172
2,960,0.05869269512,0.162714925
4,1/6,0.4992463512,0.5897974405
4,1,0.2886107128,0.4028421135
4,10,0.1599757362,0.2848983277
4,100,0.08694533289,0.229842192
4,960,0.04920774972,0.1394166601
8,1/6,0.4627035771,0.5477153176
8,1,0.2458733135,0.3471775143
8,10,0.1297378773,0.236790453
8,100,0.07190912099,0.1869160713
8,960,0.04380353663,0.1246368847
16,1/6,0.4465277012,0.5228468242
16,1,0.2305613764,0.313594253
16,10,0.1103268262,0.1931969852
16,100,0.06201977868,0.1486221245
16,960,0.03955736921,0.1048323781
32,1/6,0.4104260873,0.5026497605
32,1,0.2136502334,0.3131624401
32,10,0.1026616669,0.1961804193
32,100,0.0587110768,0.1597314909
32,960,0.03959413257,0.1195728979